id	dropperid	itemid	minimum_quantity	maximum_quantity	questid	chance
3496	3400002	2000003	1	1	0	40000
3497	3400002	2000004	1	1	0	20000
3498	3400002	2000006	1	1	0	40000
3510	3400003	0	60	70	0	400000
3516	3400005	0	80	85	0	400000
3623	4130100	0	160	240	0	400000
3640	4130100	2000002	1	1	0	20000
3641	4130100	2000003	1	1	0	20000
3642	4130100	2000004	1	1	0	20000
3657	4130101	0	168	252	0	400000
3678	4130101	2000002	1	1	0	20000
3679	4130101	2000003	1	1	0	20000
3680	4130101	2000004	1	1	0	20000
3826	4230100	0	96	144	0	400000
3833	4230100	1060057	1	1	0	800
3844	4230100	2000002	1	1	0	20000
3845	4230100	2000003	1	1	0	20000
3846	4230100	2000006	1	1	0	20000
3863	4230101	0	104	156	0	400000
3889	4230101	2000002	1	1	0	20000
3890	4230101	2000003	1	1	0	20000
3908	4230102	0	176	246	0	400000
3926	4230102	2000002	1	1	0	20000
3927	4230102	2000003	1	1	0	20000
3928	4230102	2000004	1	1	0	20000
3945	4230103	0	120	180	0	400000
3963	4230103	2000002	1	1	0	20000
3964	4230103	2000003	1	1	0	20000
3965	4230103	2000004	1	1	0	20000
3976	4230104	0	176	246	0	400000
3996	4230104	2000003	1	1	0	20000
3997	4230104	2000004	1	1	0	20000
4746	4230125	2000002	1	1	0	20000
4747	4230125	2000003	1	1	0	20000
4763	4230126	0	172	258	0	400000
4777	4230126	2000002	1	1	0	20000
4778	4230126	2000003	1	1	0	20000
4779	4230126	2000004	1	1	0	20000
4912	4230400	2000002	1	1	0	20000
4913	4230400	2000003	1	1	0	20000
4914	4230400	2000004	1	1	0	20000
5323	4300006	0	110	120	0	400000
5342	4300006	2000001	1	1	0	100000
5343	4300006	2000003	1	1	0	100000
5344	4300006	2000004	1	1	0	20000
5345	4300006	2000006	1	1	0	100000
5362	4300007	0	110	140	0	400000
5381	4300007	2000001	1	1	0	100000
5382	4300007	2000003	1	1	0	100000
5383	4300007	2000004	1	1	0	20000
5384	4300007	2000006	1	1	0	100000
5401	4300008	0	110	140	0	400000
5420	4300008	2000001	1	1	0	100000
5421	4300008	2000003	1	1	0	100000
5422	4300008	2000004	1	1	0	20000
5423	4300008	2000006	1	1	0	100000
5440	4300009	0	100	120	0	400000
5459	4300009	2000001	1	1	0	100000
5460	4300009	2000003	1	1	0	100000
5461	4300009	2000004	1	1	0	20000
5462	4300009	2000006	1	1	0	100000
5478	4300010	0	100	110	0	400000
5497	4300010	2000001	1	1	0	100000
5498	4300010	2000003	1	1	0	100000
5499	4300010	2000004	1	1	0	20000
5500	4300010	2000006	1	1	0	100000
5516	4300011	0	110	115	0	400000
5535	4300011	2000001	1	1	0	100000
5536	4300011	2000003	1	1	0	100000
5537	4300011	2000004	1	1	0	20000
5538	4300011	2000006	1	1	0	100000
5554	4300012	0	120	140	0	400000
5573	4300012	2000001	1	1	0	100000
5574	4300012	2000003	1	1	0	100000
5575	4300012	2000004	1	1	0	20000
5576	4300012	2000006	1	1	0	100000
5591	4300013	0	500	700	0	400000
5610	4300013	2000001	1	1	0	1000000
5611	4300013	2000003	1	1	0	1000000
5612	4300013	2000004	1	1	0	999999
5613	4300013	2000006	1	1	0	4999995
5632	4300014	0	100	110	0	400000
5651	4300014	2000001	1	1	0	40000
5652	4300014	2000003	1	1	0	40000
5653	4300014	2000004	1	1	0	40000
5654	4300014	2000006	1	1	0	40000
5668	4300015	0	110	115	0	400000
5687	4300015	2000001	1	1	0	40000
5688	4300015	2000003	1	1	0	40000
5689	4300015	2000004	1	1	0	40000
5690	4300015	2000006	1	1	0	40000
5705	4300016	0	120	140	0	400000
5709	5090000	0	800	920	0	400000
5727	5100000	0	330	490	0	400000
5741	5100000	2000002	1	1	0	20000
5742	5100000	2000003	1	1	0	20000
5743	5100000	2000004	1	1	0	20000
6363	5130100	0	200	300	0	400000
6387	5130100	2000002	1	1	0	20000
6388	5130100	2000004	1	1	0	20000
6407	5130101	0	256	348	0	400000
6430	5130101	2000003	1	1	0	20000
6431	5130101	2000004	1	1	0	20000
6432	5130101	2000006	1	1	0	20000
6445	5130102	0	280	420	0	400000
6468	5130102	2000003	1	1	0	20000
6469	5130102	2000004	1	1	0	20000
6485	5130103	0	224	336	0	400000
6500	5130103	2000002	1	1	0	20000
6501	5130103	2000003	1	1	0	20000
6502	5130103	2000004	1	1	0	20000
6674	5140000	0	280	420	0	400000
6699	5140000	2000003	1	1	0	20000
6700	5140000	2000004	1	1	0	20000
6719	5150000	0	296	447	0	400000
6738	5150000	2000002	1	1	0	20000
6739	5150000	2000003	1	1	0	20000
6740	5150000	2000004	1	1	0	20000
6755	5150001	0	272	408	0	400000
6773	5150001	2000003	1	1	0	20000
6774	5150001	2000004	1	1	0	20000
24178	3300002	0	83	123	0	400000
7201	5300100	0	251	359	0	400000
7223	5300100	2000002	1	1	0	20000
7224	5300100	2000003	1	1	0	20000
7225	5300100	2000004	1	1	0	20000
7400	6130100	0	304	456	0	400000
7432	6130100	2000004	1	1	0	20000
7433	6130100	2000006	1	1	0	20000
7449	6130101	0	800	1196	0	400000
24191	4230400	0	132	195	0	400000
7856	6230100	2000005	1	1	0	20000
7857	6230100	2000006	1	1	0	20000
8066	6230600	0	324	486	0	400000
8087	6230600	2000004	1	1	0	20000
8088	6230600	2000006	1	1	0	20000
8109	6230601	0	332	498	0	400000
8133	6230601	2000002	1	1	0	20000
8134	6230601	2000004	1	1	0	20000
8154	6230602	0	328	492	0	400000
8178	6230602	2000002	1	1	0	20000
8179	6230602	2000004	1	1	0	20000
9095	7130100	0	340	500	0	400000
9119	7130100	2000004	1	1	0	20000
9120	7130100	2000005	1	1	0	40000
9121	7130100	2000006	1	1	0	20000
9137	7130101	0	409	599	0	400000
9163	7130101	2000005	1	1	0	20000
9210	7130102	2000004	1	1	0	20000
9211	7130102	2000006	1	1	0	20000
9257	7130103	2000004	1	1	0	20000
9258	7130103	2000006	1	1	0	20000
24190	4230125	0	128	189	0	400000
10091	8130100	0	1621	2387	0	400000
10110	8130100	2000004	1	1	0	999999
10111	8130100	2000005	1	1	0	999999
10112	8130100	2000006	1	4	0	40000
13781	9200019	2000003	1	1	0	40000
13782	9200019	2000004	1	1	0	40000
24391	9300274	0	39	57	0	400000
24138	3230301	2000003	1	1	0	20000
24137	3230301	2000002	1	1	0	20000
24136	3230301	0	94	144	0	400000
24128	3000004	2000003	1	1	0	20000
24127	3000004	2000001	1	1	0	20000
24126	3000004	0	80	120	0	400000
24118	3000003	2000003	1	1	0	20000
24117	3000003	2000001	1	1	0	20000
24116	3000003	0	80	120	0	400000
24108	3000002	2000003	1	1	0	20000
24107	3000002	2000001	1	1	0	20000
15590	9300274	1072015	1	1	0	800
15594	9300274	1432000	1	1	0	500
15595	9300274	2000000	1	1	0	20000
15778	9300328	0	4	6	0	400000
24168	3000005	0	81	119	0	400000
24165	2230110	0	64	94	0	400000
24179	3300003	0	86	127	0	400000
24167	2230131	0	66	97	0	400000
24148	100124	0	40	59	0	400000
24147	100123	0	38	55	0	400000
24166	2230111	0	66	97	0	400000
17865	9400551	0	1000	5000	0	999999
17867	9400551	1040002	1	1	0	56000
17869	9400551	1302000	1	1	0	56000
17870	9400551	2000000	1	1	0	999999
24280	9200019	0	203	299	0	400000
24155	1140130	0	56	83	0	400000
24154	1110130	0	49	72	0	400000
24153	100134	0	40	59	0	400000
24152	100133	0	38	55	0	400000
24241	7130103	0	332	490	0	400000
24151	100132	0	35	52	0	400000
24240	7130102	0	391	578	0	400000
24150	100131	0	33	49	0	400000
24149	100130	0	31	45	0	400000
24224	6300005	0	765	3770	0	400000
24222	6230100	0	231	341	0	400000
24180	3300004	0	89	131	0	400000
24177	3300001	0	81	119	0	400000
